"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Dallas-Fort Worth-Arlington, TX","19100",2024,92,36,56,0,0,0,0,78,66,53,1,1,12,77,1
"Dalton, GA","19140",2024,90,71,19,0,0,0,0,77,61,43,0,0,90,0,0
"Daphne-Fairhope-Foley, AL","19300",2024,111,98,13,0,0,0,0,66,51,33,0,0,23,88,0
"Davenport-Moline-Rock Island, IA-IL","19340",2024,214,131,83,0,0,0,0,90,63,47,1,0,108,77,28
"Dayton, OH","19380",2024,183,105,75,3,0,0,0,147,67,48,1,0,93,89,0
"Decatur, AL","19460",2024,121,85,36,0,0,0,0,79,58,36,0,0,18,103,0
"Decatur, IL","19500",2024,182,128,53,1,0,0,0,101,59,43,0,0,87,95,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2024,91,74,17,0,0,0,0,76,54,42,0,0,53,38,0
"Deming, NM","19700",2024,91,87,2,1,1,0,0,153,31,7,0,0,0,0,91
"Denver-Aurora-Lakewood, CO","19740",2024,194,101,92,1,0,0,0,112,71,49,0,16,61,101,16
"Des Moines-West Des Moines, IA","19780",2024,213,139,74,0,0,0,0,80,59,46,0,2,106,105,0
"Detroit-Warren-Dearborn, MI","19820",2024,92,28,62,1,1,0,0,152,74,56,1,0,7,84,0
"Dickinson, ND","19860",2024,182,169,12,1,0,0,0,106,49,38,0,0,160,22,0
"Dodge City, KS","19980",2024,91,90,1,0,0,0,0,61,28,11,0,0,0,0,91
"Douglas, GA","20060",2024,152,100,51,1,0,0,0,137,62,44,0,0,0,152,0
"Dover, DE","20100",2024,61,48,13,0,0,0,0,77,59,40,0,0,40,21,0
"Duluth, MN-WI","20260",2024,152,134,18,0,0,0,0,71,51,39,0,0,120,32,0
"Durango, CO","20420",2024,213,127,85,1,0,0,0,101,77,48,0,2,204,7,0
"Durham-Chapel Hill, NC","20500",2024,121,59,62,0,0,0,0,89,63,51,0,0,45,76,0
"Dyersburg, TN","20540",2024,83,69,14,0,0,0,0,62,53,28,0,0,0,83,0
"Eagle Pass, TX","20580",2024,117,78,39,0,0,0,0,96,69,34,0,0,0,117,0
"Eau Claire, WI","20740",2024,91,70,21,0,0,0,0,69,58,36,0,0,5,86,0
"Effingham, IL","20820",2024,122,110,11,1,0,0,0,101,50,41,0,0,122,0,0
"El Centro, CA","20940",2024,157,63,79,15,0,0,0,133,100,54,0,0,98,44,15
"El Dorado, AR","20980",2024,61,37,24,0,0,0,0,75,62,44,0,0,0,61,0
"El Paso, TX","21340",2024,91,39,43,5,1,0,3,431,96,53,0,7,23,36,25
"Elizabethtown-Fort Knox, KY","21060",2024,96,80,16,0,0,0,0,63,55,39,0,0,18,78,0
"Elkhart-Goshen, IN","21140",2024,182,125,57,0,0,0,0,93,64,44,0,0,108,74,0
"Elko, NV","21220",2024,91,91,0,0,0,0,0,31,19,8,0,0,0,0,91
"Ellensburg, WA","21260",2024,121,106,15,0,0,0,0,79,53,22,0,0,0,121,0
"Erie, PA","21500",2024,153,134,19,0,0,0,0,65,53,28,2,26,0,125,0
"Espa?ola, NM","21580",2024,90,84,6,0,0,0,0,58,49,43,0,0,90,0,0
"Eugene, OR","21660",2024,91,47,44,0,0,0,0,84,61,48,0,0,0,91,0
"Eureka-Arcata-Fortuna, CA","21700",2024,205,187,18,0,0,0,0,86,48,33,0,0,60,145,0
"Evanston, WY","21740",2024,91,91,0,0,0,0,0,16,6,4,0,0,0,0,91
"Evansville, IN-KY","21780",2024,213,145,66,2,0,0,0,122,61,46,0,0,131,82,0
"Fairbanks, AK","21820",2024,92,27,53,9,2,1,0,220,121,61,1,0,10,81,0
"Fairmont, WV","21900",2024,27,22,5,0,0,0,0,57,51,25,0,0,0,27,0
"Fallon, NV","21980",2024,91,89,2,0,0,0,0,51,44,37,0,0,91,0,0
"Fargo, ND-MN","22020",2024,182,166,15,1,0,0,0,134,50,37,0,0,127,55,0
"Farmington, NM","22140",2024,165,110,50,5,0,0,0,105,90,45,0,3,161,0,1
"Fayetteville, NC","22180",2024,121,83,37,1,0,0,0,110,61,44,0,0,51,69,1
"Fayetteville-Springdale-Rogers, AR-MO","22220",2024,182,150,31,1,0,0,0,101,54,43,0,0,149,33,0
"Fernley, NV","22280",2024,89,88,1,0,0,0,0,51,45,38,0,0,89,0,0
"Flagstaff, AZ","22380",2024,152,109,41,2,0,0,0,108,74,45,0,0,152,0,0
"Flint, MI","22420",2024,91,71,20,0,0,0,0,70,55,37,0,0,26,65,0
"Florence, SC","22500",2024,188,112,76,0,0,0,0,100,62,47,0,0,73,115,0
"Fond du Lac, WI","22540",2024,7,7,0,0,0,0,0,41,41,36,0,0,7,0,0
"Fort Collins, CO","22660",2024,152,85,67,0,0,0,0,93,71,50,0,0,127,25,0
"Fort Payne, AL","22840",2024,152,120,32,0,0,0,0,77,58,42,0,0,116,36,0
"Fort Smith, AR-OK","22900",2024,120,77,43,0,0,0,0,87,60,44,0,0,5,115,0
"Fort Wayne, IN","23060",2024,182,116,66,0,0,0,0,100,64,46,0,0,101,81,0
"Fresno, CA","23420",2024,182,96,76,9,1,0,0,151,84,49,0,0,124,58,0
"Gadsden, AL","23460",2024,120,74,46,0,0,0,0,93,66,42,0,0,14,106,0
"Gainesville, FL","23540",2024,91,80,11,0,0,0,0,94,53,38,0,0,54,37,0
"Gainesville, GA","23580",2024,182,92,90,0,0,0,0,100,70,50,0,0,0,182,0
"Gardnerville Ranchos, NV","23820",2024,91,82,9,0,0,0,0,76,50,23,0,0,0,91,0
"Gettysburg, PA","23900",2024,153,93,57,3,0,0,0,131,64,44,2,0,83,68,0
"Gillette, WY","23940",2024,176,157,19,0,0,0,0,94,51,31,0,0,47,87,42
"Glenwood Springs, CO","24060",2024,181,170,11,0,0,0,0,77,50,44,0,0,178,2,1
"Grand Island, NE","24260",2024,183,145,38,0,0,0,0,80,55,29,0,0,0,183,0
"Grand Junction, CO","24300",2024,185,151,34,0,0,0,0,90,54,43,0,0,169,11,5
"Grand Rapids-Wyoming, MI","24340",2024,92,48,44,0,0,0,0,91,65,49,1,1,29,61,0
"Grants Pass, OR","24420",2024,91,71,20,0,0,0,0,58,53,36,0,0,0,91,0
"Great Falls, MT","24500",2024,87,52,35,0,0,0,0,74,58,46,0,0,0,87,0
"Greeley, CO","24540",2024,154,103,51,0,0,0,0,88,61,45,0,0,76,78,0
"Green Bay, WI","24580",2024,91,70,21,0,0,0,0,80,61,31,0,0,6,85,0
"Greenfield Town, MA","24640",2024,181,150,31,0,0,0,0,93,55,38,0,0,126,55,0
"Greensboro-High Point, NC","24660",2024,121,94,27,0,0,0,0,87,60,41,0,0,55,56,10
"Greenville, NC","24780",2024,121,105,16,0,0,0,0,74,52,38,0,0,55,66,0
"Greenville-Anderson-Mauldin, SC","24860",2024,213,131,82,0,0,0,0,99,67,47,0,1,90,122,0
"Guayama, PR","25020",2024,27,26,1,0,0,0,0,53,29,14,0,0,0,0,27
"Gulfport-Biloxi-Pascagoula, MS","25060",2024,91,56,35,0,0,0,0,84,62,44,0,0,19,72,0
"Hagerstown-Martinsburg, MD-WV","25180",2024,182,144,38,0,0,0,0,97,58,42,0,0,117,65,0
"Hailey, ID","25200",2024,91,91,0,0,0,0,0,39,22,12,0,0,0,91,0
"Hammond, LA","25220",2024,32,23,9,0,0,0,0,74,55,40,0,0,0,32,0
"Harrisburg-Carlisle, PA","25420",2024,152,96,56,0,0,0,0,95,64,40,0,0,0,152,0
"Harrison, AR","25460",2024,182,176,6,0,0,0,0,67,48,40,0,0,182,0,0
"Harrisonburg, VA","25500",2024,213,163,50,0,0,0,0,83,55,43,0,8,85,120,0
"Hartford-West Hartford-East Hartford, CT","25540",2024,92,76,16,0,0,0,0,67,55,39,1,7,48,36,0
"Hattiesburg, MS","25620",2024,91,59,32,0,0,0,0,76,66,38,0,0,0,91,0
"Havre, MT","25660",2024,87,85,2,0,0,0,0,58,39,19,0,0,0,87,0
"Helena, MT","25740",2024,91,52,38,1,0,0,0,116,71,46,0,0,37,54,0
"Hermiston-Pendleton, OR","25840",2024,91,74,17,0,0,0,0,86,58,28,0,0,0,91,0
"Hickory-Lenoir-Morganton, NC","25860",2024,121,85,36,0,0,0,0,93,60,44,0,0,48,73,0
"Hilo, HI","25900",2024,121,119,2,0,0,0,0,53,29,20,0,0,0,121,0
"Hobbs, NM","26020",2024,89,84,5,0,0,0,0,70,47,38,0,0,72,17,0
"Holland, MI","26090",2024,91,52,38,0,1,0,0,154,63,48,0,0,10,81,0
"Homosassa Springs, FL","26140",2024,91,63,28,0,0,0,0,69,57,44,0,0,0,91,0
"Hot Springs, AR","26300",2024,47,30,17,0,0,0,0,73,62,45,0,0,0,47,0
"Houma-Thibodaux, LA","26380",2024,181,104,77,0,0,0,0,99,59,47,0,0,40,141,0
"Houston-The Woodlands-Sugar Land, TX","26420",2024,92,19,72,0,1,0,0,184,74,57,1,3,15,66,7
"Huntington-Ashland, WV-KY-OH","26580",2024,182,130,52,0,0,0,0,68,55,43,0,1,85,96,0
"Huntsville, AL","26620",2024,90,67,23,0,0,0,0,89,59,39,0,0,21,69,0
"Idaho Falls, ID","26820",2024,152,138,14,0,0,0,0,74,50,42,0,0,144,8,0
"Indiana, PA","26860",2024,148,137,11,0,0,0,0,58,48,27,0,0,0,148,0
"Indianapolis-Carmel-Anderson, IN","26900",2024,213,105,107,1,0,0,0,108,71,51,0,0,106,107,0
"Iowa City, IA","26980",2024,211,158,53,0,0,0,0,67,56,36,0,0,0,211,0
"Ithaca, NY","27060",2024,151,149,2,0,0,0,0,54,45,35,0,0,151,0,0
"Jackson, MS","27140",2024,92,60,32,0,0,0,0,85,66,44,1,0,35,56,0
"Jackson, TN","27180",2024,87,73,14,0,0,0,0,66,53,28,0,0,0,87,0
"Jackson, WY-ID","27220",2024,182,154,28,0,0,0,0,93,58,43,0,0,145,27,10
"Jacksonville, FL","27260",2024,92,48,44,0,0,0,0,94,64,50,1,0,20,71,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2024,180,162,17,1,0,0,0,105,51,38,0,0,173,7,0
"Janesville-Beloit, WI","27500",2024,7,7,0,0,0,0,0,42,42,37,0,0,7,0,0
"Jasper, IN","27540",2024,152,108,44,0,0,0,0,65,57,39,0,0,0,152,0
"Jefferson City, MO","27620",2024,39,38,1,0,0,0,0,54,49,40,0,0,39,0,0
"Johnstown, PA","27780",2024,153,125,28,0,0,0,0,70,55,30,1,2,0,150,0
"Joplin, MO","27900",2024,89,76,13,0,0,0,0,99,54,30,0,0,28,0,61
"Juneau, AK","27940",2024,84,63,21,0,0,0,0,73,56,30,0,0,0,84,0
"Kahului-Wailuku-Lahaina, HI","27980",2024,91,90,0,1,0,0,0,101,33,21,0,0,0,91,0
"Kalamazoo-Portage, MI","28020",2024,91,53,38,0,0,0,0,100,68,45,0,0,13,78,0
